"w1","w2","prediction","rank"
"a","and","the",5
"a","b","and",7
"a","b","on",5
"a","ba","in",8
"a","baby","a",4
"a","baby","and",18
"a","baby","boy",11
"a","baby","girl",9
"a","baby","is",9
"a","baby","shower",18
"a","baby","with",3
"a","bachelor","of",4
"a","bachelor","party",3
"a","bachelors","degree",29
"a","back","seat",14
"a","background","check",6
"a","backup","plan",5
"a","bad","back",4
"a","bad","bad",5
"a","bad","case",8
"a","bad","day",51
"a","bad","deal",6
"a","bad","dream",5
"a","bad","example",5
"a","bad","first",5
"a","bad","guy",10
"a","bad","idea",41
"a","bad","joke",4
"a","bad","one",6
"a","bad","person",19
"a","bad","plan",4
"a","bad","reputation",6
"a","bad","sign",18
"a","bad","situation",5
"a","bad","team",4
"a","bad","thing",68
"a","bad","time",13
"a","bad","way",9
"a","bad","week",5
"a","bag","and",6
"a","bag","for",5
"a","bag","full",3
"a","bag","of",58
"a","bag","that",5
"a","bake","sale",4
"a","baked","potato",5
"a","balance","between",9
"a","balance","of",10
"a","balanced","budget",19
"a","bald","eagle",3
"a","ball","and",8
"a","ball","around",3
"a","ball","at",5
"a","ball","of",8
"a","ban","on",25
"a","band","and",6
"a","band","for",4
"a","band","of",11
"a","band","to",3
"a","bangup","job",3
"a","bank","account",6
"a","bank","of",11
"a","bank","that",3
"a","bar","and",13
"a","bar","but",4
"a","bar","in",13
"a","bar","with",6
"a","barista","a",3
"a","baseball","bat",13
"a","baseball","cap",6
"a","baseball","game",10
"a","basket","of",11
"a","batch","of",20
"a","bath","and",6
"a","bathroom","mirror",3
"a","battle","of",11
"a","battle","to",4
"a","battle","with",9
"a","beacon","of",3
"a","beast","on",4
"a","beat","and",5
"a","beautiful","and",12
"a","beautiful","country",5
"a","beautiful","day",173
"a","beautiful","job",3
"a","beautiful","piece",6
"a","beautiful","place",10
"a","beautiful","spring",6
"a","beautiful","thing",19
"a","beautiful","woman",13
"a","bed","and",7
"a","bed","in",3
"a","bed","of",19
"a","beeline","for",4
"a","beer","at",7
"a","beer","in",7
"a","beer","on",6
"a","beer","that",10
"a","beer","with",7
"a","belief","in",6
"a","believer","in",10
"a","benefit","for",9
"a","best","friend",12
"a","best","of",7
"a","better","chance",26
"a","better","choice",12
"a","better","day",19
"a","better","deal",8
"a","better","future",6
"a","better","idea",13
"a","better","job",38
"a","better","life",17
"a","better","look",6
"a","better","man",7
"a","better","more",3
"a","better","person",21
"a","better","place",47
"a","better","plan",5
"a","better","player",8
"a","better","shot",5
"a","better","time",13
"a","better","understanding",13
"a","better","view",10
"a","better","way",35
"a","better","word",9
"a","better","world",8
"a","better","year",5
"a","bible","study",8
"a","bid","to",27
"a","big","big",5
"a","big","blow",3
"a","big","bowl",8
"a","big","box",8
"a","big","business",4
"a","big","change",7
"a","big","chunk",11
"a","big","city",15
"a","big","company",3
"a","big","day",18
"a","big","deal",98
"a","big","difference",35
"a","big","event",6
"a","big","family",4
"a","big","fan",122
"a","big","fat",14
"a","big","game",15
"a","big","gap",3
"a","big","girl",8
"a","big","glass",3
"a","big","heart",4
"a","big","help",8
"a","big","hit",22
"a","big","house",3
"a","big","hug",17
"a","big","impact",10
"a","big","improvement",5
"a","big","jump",7
"a","big","kiss",4
"a","big","night",6
"a","big","nono",4
"a","big","ol",6
"a","big","one",28
"a","big","part",58
"a","big","pile",3
"a","big","problem",17
"a","big","role",11
"a","big","show",4
"a","big","smile",20
"a","big","step",16
"a","big","stick",7
"a","big","summer",3
"a","big","surprise",5
"a","big","thing",7
"a","big","truck",4
"a","big","waste",4
"a","big","way",22
"a","big","year",12
"a","bigger","one",6
"a","bike","and",6
"a","bike","but",4
"a","bike","ride",17
"a","bill","for",6
"a","bill","of",6
"a","bill","that",51
"a","billion","dollars",12
"a","billion","people",4
"a","biography","of",7
"a","bipartisan","issue",3
"a","bird","that",4
"a","birthday","card",12
"a","birthday","gift",10
"a","birthday","party",27
"a","bit","about",30
"a","bit","and",47
"a","bit","before",8
"a","bit","better",26
"a","bit","but",33
"a","bit","different",11
"a","bit","differently",6
"a","bit","easier",9
"a","bit","for",6
"a","bit","from",9
"a","bit","higher",6
"a","bit","i",27
"a","bit","in",14
"a","bit","it",5
"a","bit","just",3
"a","bit","last",3
"a","bit","late",16
"a","bit","later",10
"a","bit","less",8
"a","bit","lighter",3
"a","bit","like",45
"a","bit","longer",18
"a","bit","more",166
"a","bit","much",17
"a","bit","odd",8
"a","bit","of",564
"a","bit","off",8
"a","bit","on",28
"a","bit","out",6
"a","bit","over",9
"a","bit","overwhelming",5
"a","bit","slow",7
"a","bit","steep",3
"a","bit","strange",5
"a","bit","stronger",3
"a","bit","stuffy",3
"a","bit","the",11
"a","bit","to",35
"a","bit","too",54
"a","bit","with",10
"a","bit","you",9
"a","bite","and",3
"a","bite","of",11
"a","bite","to",12
"a","black","and",14
"a","black","belt",3
"a","black","man",17
"a","black","woman",9
"a","blanket","and",6
"a","blast","doing",6
"a","blast","from",5
"a","blast","of",4
"a","blend","of",23
"a","blessing","and",7
"a","blessing","because",3
"a","blessing","in",9
"a","blessing","that",6
"a","blessing","to",23
"a","blind","eye",11
"a","blip","on",4
"a","block","away",17
"a","block","from",14
"a","block","of",11
"a","blog","and",11
"a","blog","post",53
"a","blog","that",9
"a","blood","drive",3
"a","blood","vessel",4
"a","bloody","mary",6
"a","blue","light",3
"a","blueprint","for",4
"a","board","member",20
"a","board","of",9
"a","boat","trip",4
"a","boating","accident",3
"a","boatload","of",5
"a","body","of",9
"a","body","with",4
"a","bolt","of",3
"a","bomb","and",4
"a","bone","in",5
"a","bone","to",5
"a","bonus","of",7
"a","book","a",10
"a","book","about",38
"a","book","and",35
"a","book","called",14
"a","book","club",3
"a","book","for",8
"a","book","i",30
"a","book","in",18
"a","book","it",6
"a","book","of",17
"a","book","on",23
"a","book","signing",5
"a","book","that",41
"a","book","this",4
"a","book","with",17
"a","boon","for",5
"a","boost","of",4
"a","bottle","of",118
"a","bottle","or",6
"a","bounce","house",4
"a","bouquet","of",8
"a","bow","and",10
"a","bowl","full",3
"a","bowl","of",55
"a","box","for",6
"a","box","of",60
"a","boy","and",19
"a","boy","i",5
"a","boy","in",10
"a","boy","on",4
"a","boy","or",11
"a","boy","who",13
"a","brain","tumor",7
"a","brand","and",3
"a","brand","new",86
"a","brand","of",3
"a","break","and",22
"a","break","between",4
"a","break","for",11
"a","break","from",76
"a","break","in",10
"a","break","on",5
"a","break","or",5
"a","break","to",9
"a","breakout","year",3
"a","breath","and",3
"a","breath","of",18
"a","brewery","that",3
"a","brick","wall",6
"a","bridge","and",8
"a","bridge","or",3
"a","bridge","to",6
"a","bright","light",4
"a","bright","spot",10
"a","brilliant","idea",10
"a","broader","audience",3
"a","broken","leg",5
"a","broken","man",4
"a","broken","record",9
"a","brother","to",5
"a","browns","fan",5
"a","bruise","on",6
"a","bucket","list",13
"a","buffet","dinner",5
"a","bug","in",8
"a","built","in",6
"a","bumper","sticker",6
"a","bunch","of",439
"a","bundle","of",9
"a","burger","and",5
"a","burger","or",4
"a","burst","of",15
"a","bus","and",4
"a","bus","stop",6
"a","bus","to",8
"a","bus","with",4
"a","business","and",12
"a","business","card",5
"a","business","from",6
"a","business","is",6
"a","business","or",5
"a","business","plan",7
"a","business","suit",5
"a","business","that",14
"a","business","to",7
"a","busy","day",36
"a","busy","few",3
"a","busy","man",3
"a","busy","one",5
"a","busy","week",18
"a","butter","knife",3
"a","buyer","to",3
"a","byproduct","of",6
"a","c","and",4
"a","cab","and",4
"a","cab","to",4
"a","cake","and",5
"a","call","about",8
"a","call","after",3
"a","call","at",9
"a","call","back",7
"a","call","but",4
"a","call","for",22
"a","call","from",53
"a","call","in",5
"a","call","on",5
"a","call","to",27
"a","call","when",3
"a","camera","and",8
"a","camera","that",5
"a","camp","in",3
"a","campaign","for",7
"a","campaign","of",6
"a","can","of",32
"a","candidate","for",17
"a","candidate","with",5
"a","candle","in",4
"a","candle","to",5
"a","candlelight","vigil",7
"a","cane","and",3
"a","canopy","over",3
"a","cap","on",4
"a","car","accident",30
"a","car","alarm",4
"a","car","and",21
"a","car","at",8
"a","car","crash",20
"a","car","for",9
"a","car","he",4
"a","car","in",13
"a","car","is",7
"a","car","it",3
"a","car","on",11
"a","car","or",8
"a","car","seat",8
"a","car","that",17
"a","car","they",3
"a","car","was",9
"a","car","with",11
"a","card","or",8
"a","card","that",12
"a","cardboard","box",8
"a","cardinals","fan",3
"a","care","package",5
"a","career","i",3
"a","career","in",25
"a","career","that",12
"a","career","year",6
"a","cartoon","character",6
"a","case","for",13
"a","case","in",16
"a","case","of",62
"a","case","that",12
"a","cast","of",5
"a","casting","call",4
"a","casting","director",5
"a","cat","i",12
"a","cat","in",5
"a","cat","or",6
"a","cat","you",3
"a","catalyst","for",8
"a","catholic","school",4
"a","cause","of",6
"a","cautionary","tale",9
"a","cd","from",3
"a","celebration","of",23
"a","cell","phone",37
"a","center","for",6
"a","certain","age",10
"a","certain","amount",25
"a","certain","extent",10
"a","certain","kind",8
"a","certain","person",6
"a","certain","point",11
"a","certain","time",6
"a","certain","type",7
"a","certain","way",15
"a","chain","of",6
"a","chair","and",10
"a","chair","for",4
"a","chair","to",5
"a","challenge","but",7
"a","challenge","for",15
"a","challenge","to",24
"a","challenge","when",5
"a","chance","and",11
"a","chance","as",4
"a","chance","at",29
"a","chance","but",6
"a","chance","for",16
"a","chance","i",18
"a","chance","in",9
"a","chance","meeting",5
"a","chance","of",43
"a","chance","on",18
"a","chance","that",17
"a","chance","they",4
"a","chance","this",4
"a","chance","to",578
"a","chance","we",3
"a","change","from",4
"a","change","in",51
"a","change","is",6
"a","change","of",37
"a","change","that",7
"a","change","to",10
"a","character","and",5
"a","character","i",3
"a","character","in",8
"a","character","is",3
"a","character","who",8
"a","charity","of",3
"a","chart","showing",4
"a","charter","school",7
"a","cheap","date",4
"a","check","by",3
"a","check","for",9
"a","check","from",6
"a","cherry","on",4
"a","child","and",34
"a","child","can",5
"a","child","for",4
"a","child","i",19
"a","child","in",21
"a","child","is",20
"a","child","it",6
"a","child","of",16
"a","child","on",8
"a","child","or",5
"a","child","to",9
"a","child","was",5
"a","child","who",23
"a","child","with",13
"a","childrens","book",14
"a","chili","cook",3
"a","chill","in",4
"a","chip","on",6
"a","chocolate","cake",7
"a","choice","and",5
"a","choice","between",7
"a","choice","i",9
"a","choice","of",18
"a","choice","to",11
"a","choke","hold",3
"a","chord","with",5
"a","christian","and",5
"a","christian","nation",4
"a","christmas","card",13
"a","christmas","carol",10
"a","christmas","gift",5
"a","christmas","tree",6
"a","chunk","of",13
"a","church","that",8
"a","circle","a",3
"a","circle","of",11
"a","citizen","of",9
"a","city","hall",5
"a","city","i",3
"a","city","in",6
"a","city","is",3
"a","city","of",15
"a","city","that",22
"a","city","the",4
